Review_Status,Org_Name,Event_Name,Event_Description,Event_Date,Start_Time,End_Time,Services,County,Venue_Name,Venue_Address,Venue_City,Venue_Zip,Registration_Link,Additional_Link,Additional_Info,Accessibility,Languages,General_Public,Registration_Required,Location,Rain_Date,Response_Recorded
Approved,RWJBarnabas Health,Back-to-School Night & Movie Under the Stars,"RWJBarnabas Health and the state Department of Health will participate in community events to educate families about childhood immunizations, school health requirements and available healthcare resources.",8/28/2026,5 p.m.,7 p.m.,"[""Health resources""]",Essex,Branch Brook Park (Lake Street Entrance) ,"& Park Avenue, Lake St",Newark,07104,,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,Families are encouraged to take advantage of these free community events to ensure children receive recommended immunizations and school physicals before classes begin. ,"[""Wheelchair accessible"",""Additional Languages""]",,Yes,No,Outdoors,,8/11/2026 21:18
Approved,RWJBarnabas Health,Trinitas Regional Medical Center Backpack Giveaway,"RWJBarnabas Health and the state Department of Health will participate in community events to educate families about childhood immunizations, school health requirements and available healthcare resources.",8/25/2026,4 p.m.,6 p.m.,"[""Health resources""]",Union,Trinitas Regional Medical Center,225 Williamson Street,Elizabeth,07202,,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,Families are encouraged to take advantage of these free community events to ensure children receive recommended immunizations and school physicals before classes begin. ,"[""Wheelchair accessible"",""Additional Languages""]",,Yes,No,Indoors,,8/11/2026 21:14
Approved,RWJBarnabas Health,Pediatric Mobile Health Clinic,RWJBarnabas Health's Pediatric Mobile Health Program will provide school physicals and connect families with vaccination resources at locations across Essex County from 3 p.m. to 6:30 p.m. ,9/24/2026,3 p.m.,6:30 p.m.,"[""Physicals"",""Connection to vaccination resources. ""]",Essex,Discovery Charter School,240 Halsey Street,Newark,07102,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Each mobile clinic will feature a pediatric physician providing school physicals, Community Health Workers connecting families with Vaccines for Children providers and Federally Qualified Health Centers, health education and navigation to ongoing primary and preventive care. Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows.","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for patients to use. ",Yes,No,Indoors,,8/11/2026 21:10
Approved,RWJBarnabas Health,Pediatric Mobile Health Clinic,RWJBarnabas Health's Pediatric Mobile Health Program will provide school physicals and connect families with vaccination resources at locations across Essex County from 3 p.m. to 6:30 p.m. ,9/10/2026,3 p.m.,6:30 p.m.,"[""Physicals"",""Connection to vaccination resources""]",Essex,Orange Health Department,29 North Day Street,Orange,07050,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Each mobile clinic will feature a pediatric physician providing school physicals, Community Health Workers connecting families with Vaccines for Children providers and Federally Qualified Health Centers, health education and navigation to ongoing primary and preventive care. Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows.","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for patients to use. ",Yes,No,Indoors,,8/11/2026 21:07
Approved,RWJBarnabas Health,Pediatric Mobile Health Clinic,RWJBarnabas Health's Pediatric Mobile Health Program will provide school physicals and connect families with vaccination resources at locations across Essex County from 3 p.m. to 6:30 p.m. ,9/3/2026,3 p.m.,6:30 p.m.,"[""Physicals"",""Connection to vaccination resources""]",Essex,MPTCS PAC Academy,28 Burnet Street,Newark,07103,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Each mobile clinic will feature a pediatric physician providing school physicals, Community Health Workers connecting families with Vaccines for Children providers and Federally Qualified Health Centers, health education and navigation to ongoing primary and preventive care. Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows.","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for patients to use. ",Yes,No,Indoors,,8/11/2026 21:03
Approved,RWJBarnabas Health,Pediatric Mobile Health Clinics,RWJBarnabas Health's Pediatric Mobile Health Program will provide school physicals and connect families with vaccination resources at locations across Essex County from 3 p.m. to 6:30 p.m. ,8/27/2026,3 p.m.,6:30 p.m.,"[""Physicals"",""Connection to vaccination resources""]",Essex,American History High School,74 Montgomery Street,Newark,07103,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Each mobile clinic will feature a pediatric physician providing school physicals, Community Health Workers connecting families with Vaccines for Children providers and Federally Qualified Health Centers, health education and navigation to ongoing primary and preventive care. Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows.","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for patients to use. ",Yes,No,Indoors,,8/11/2026 20:59
Approved,RWJBarnabas Health,Pediatric Mobile Health Clinics,RWJBarnabas Health's Pediatric Mobile Health Program will provide school physicals and connect families with vaccination resources at locations across Essex County from 3 p.m. to 6:30 p.m. ,8/13/2026,3 p.m.,6:30 p.m.,"[""Physicals"",""Connection to vaccination resources""]",Essex,Newark Collegiate Academy,129 Littleton Avenue,Newark,07103,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Each mobile clinic will feature a pediatric physician providing school physicals, Community Health Workers connecting families with Vaccines for Children providers and Federally Qualified Health Centers, health education and navigation to ongoing primary and preventive care. Registration is encouraged, Walk-ins will be accepted as capacity allows.","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter, will be available for patients to use. ",Yes,No,Indoors,,8/11/2026 20:55
Approved,RWJBarnabas Health,Union Regional Back-to-School Clinic,"RWJBarnabas Health, in partnership with the New Jersey Department of Health and Essex County, are here to help your child get ready for the new school year with recommended childhood vaccinations and school physicals. Offering all recommended and childhood vaccines. Open to all children from Pre-K through age 18. ",9/21/2026,3 p.m.,7 p.m.,"[""Vaccine clinic"",""Physicals""]",Union,Union County Immunization Center,40 Parker Road,Elizabeth,07208,,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Patients can call the clinic at 000-000-0000 or email name@example.org for an appointment. Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows. Please register by Friday, September 11. Registered attendees will receive a lunch box filled with nutrition information, healthy recipes, nutritious snack items, and fresh produce while supplies last. RWJBarnabas Health Community Health Workers and SNAP Navigators will be onsite to connect families with community resources and to provide guidance in navigating available health and social services. ","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for individuals to use. ",Yes,Yes,Indoors,,8/11/2026 19:59
Approved,RWJBarnabas Health,Newark Regional Back-to-School Clinic,"RWJBarnabas Health, in partnership with the New Jersey Department of Health and Essex County, are here to help your child get ready for the new school year with recommended childhood vaccinations and school physicals. Offering all recommended childhood vaccines. Open to all children from Pre-K through age 18. ",9/19/2026,9 a.m.,2 p.m.,"[""Vaccine clinic"",""Physicals""]",Essex,Donald Payne High School of Technology ,498-544 W Market Street,Newark,07107,https://essexcountynjvaccination.org/index.php/vaccine/vaccine_availability?vaccine_type_id=217,https://www.rwjbh.org/blog/2026/august/rwjbarnabas-health-partners-with-nj-department-o/,"Appointments are strongly encouraged. Walk-ins will be accepted as capacity allows. To schedule an appointment, visit the link above or call 000-000-0000. Please register by Friday, September 11. Registered attendees will receive a lunch box filled with nutrition information, healthy recipes, nutritious snack items, and fresh produce while supplies last. RWJBarnabas Health Community Health Workers and SNAP Navigators will be onsite to connect families with community resources and to provide guidance in navigating available health and social services. ","[""Wheelchair accessible"",""Additional Languages""]","Martti, a healthcare interpreter service, will be available for individuals to use. ",Yes,Yes,Indoors,,8/11/2026 19:51
Approved,Hackensack Meridian Health,"HMH and NJDOH Stay Well, Learn Well Vaccine Event","Child vaccines, handwashing fun, and healthy education right in your community, provided by HMH - with heart.",9/26/2026,0900,1400,"[""Vaccine clinic"",""Physicals"",""Handwashing Booth for Kids""]",Bergen,HMH Health and Wellness Center,650 From Road,Paramus,07652,"https://www.hackensackmeridianhealth.org/en/vaccine?utm_source=HMH&utm_medium=Offline-Print&utm_campaign=Clinics2026
",,,"[""Wheelchair accessible"",""Additional Languages""]",,Yes,No,Indoors,,8/17/2026 19:37
